order_id,order_date,region,category,customer_segment,is_returning_customer,quantity,unit_price,revenue,is_returned
783,2025-01-01,West,Electronics,Mid-Market,True,6,479.46,2876.76,False
493,2025-01-01,South,Furniture,Mid-Market,False,1,162.15,162.15,False
517,2025-01-01,North,Toys,SMB,False,5,356.28,1781.4,False
1483,2025-01-01,North,Office Supplies,SMB,False,4,345.62,1382.48,False
756,2025-01-01,East,Electronics,SMB,True,4,72.4,289.6,False
333,2025-01-01,North,Apparel,Enterprise,True,7,184.18,1289.26,False
1498,2025-01-01,South,Electronics,SMB,True,1,167.58,167.58,True
1538,2025-01-01,South,Furniture,Enterprise,False,6,220.76,1324.56,False
577,2025-01-01,East,Apparel,Enterprise,True,2,128.7,257.4,False
646,2025-01-01,North,Office Supplies,Enterprise,False,5,235.66,1178.3,False
872,2025-01-01,East,Office Supplies,SMB,False,2,413.49,826.98,False
1367,2025-01-02,West,Apparel,SMB,False,3,414.94,1244.82,True
964,2025-01-02,West,Furniture,Mid-Market,True,1,432.35,432.35,False
1606,2025-01-02,North,Furniture,Enterprise,False,3,287.16,861.48,False
46,2025-01-02,North,Apparel,Mid-Market,False,5,160.23,801.15,True
157,2025-01-02,North,Office Supplies,SMB,False,6,249.47,1496.82,False
1457,2025-01-02,South,Toys,SMB,True,1,243.4,243.4,False
200,2025-01-02,South,Electronics,Enterprise,False,5,414.92,2074.6,False
1181,2025-01-03,South,Apparel,SMB,False,5,102.49,512.45,False
1722,2025-01-03,East,Office Supplies,Mid-Market,False,9,435.39,3918.51,False
682,2025-01-03,North,Furniture,Mid-Market,False,1,409.64,409.64,False
1137,2025-01-03,North,Electronics,Enterprise,False,2,413.75,827.5,True
1397,2025-01-03,South,Electronics,SMB,True,2,51.78,103.56,False
1577,2025-01-03,South,Toys,SMB,True,8,82.94,663.52,False
1986,2025-01-03,North,Furniture,Mid-Market,True,5,326.84,1634.2,True
1112,2025-01-04,South,Apparel,SMB,False,6,133.48,800.88,False
1428,2025-01-04,West,Electronics,Mid-Market,False,4,442.75,1771.0,False
725,2025-01-04,South,Toys,SMB,False,6,221.23,1327.38,False
994,2025-01-04,East,Toys,SMB,False,8,75.36,602.88,False
373,2025-01-04,South,Apparel,SMB,True,2,397.68,795.36,False
246,2025-01-04,North,Electronics,SMB,False,7,482.92,3380.44,False
1290,2025-01-04,East,Furniture,Mid-Market,False,1,445.72,445.72,False
739,2025-01-04,East,Electronics,SMB,False,4,19.36,77.44,False
1526,2025-01-05,West,Toys,Enterprise,True,2,107.22,214.44,False
1802,2025-01-05,South,Toys,SMB,False,2,286.85,573.7,False
97,2025-01-05,East,Electronics,SMB,False,6,224.59,1347.54,False
827,2025-01-05,East,Office Supplies,SMB,False,3,334.36,1003.08,False
